"title","brand","category","price","image_url","product_url","description","sku","size","color"
"Superstar","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/OUzmvk0vj1y6MAaJyafJ_JH5709-Adidas-Superstar-Vintage-W-Footwear-White-Core-Black-os-1.jpg?crop=center&height=768&v=1738828483&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"Speedcat OG","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/1mUh5OWTgLi4HN3dVQaB_398846-34-Puma-Speedcat-OG-Wild-Berry-Rose-Mauve-OS-1.jpg?crop=center&height=768&v=1737647826&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"Campus 00s Beta","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/0V5fDjZ2Yqs8KveQetnH_JR2461-Adidas-Campus-00s-Beta-Grey-One-Footwear-White-Grey-Two-OS-1.jpg?crop=center&height=768&v=1737981630&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"Campus 00s","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/v5OAaA5sV2h9TiFgmkke_JP9998-Adidas-Campus-00s-Cloud-White-Core-Black-Core-Black-os-1.jpg?crop=center&height=768&v=1737992024&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"Campus 00s Beta","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/mtTT6T8RvIRFL59by6BT_IH8605-Adidas-Campus-00s-Beta-Putty-Grey-Olive-Strata-Silver-Pebble-os-1.jpg?crop=center&height=768&v=1737365205&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"Air Pegasus 2005","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/0aNXO9lyzh1AqM2obA3I_HQ3031-001-Nike-Air-Pegasus-2005-Black-Metallic-Silver-Iron-Grey-White-os-1.jpg?crop=center&height=768&v=1737648424&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"LWST","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/JI3133-Adidas-LWST-Core-Black-Carbon-Grey-Five-os-1.jpg?crop=center&height=768&v=1737047242&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"Campus 00s Beta W","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/Dm9cjD1AEFUS06OMjACZ_JH5607-Adidas-Campus-00s-Beta-Clear-Pink-Cream-White-Preloved-Red-os-1.jpg?crop=center&height=768&v=1737463200&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"Campus 00s W","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/VJxU2QCiOTSTl3vbfrVu_JQ7767-Adidas-Campus-00s-W-Footwear-White-Shadow-Brown-Chalk-White-os-1.jpg?crop=center&height=768&v=1737731310&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"Wmns Air Pegasus 2005","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/g3SvdmumOYcoULyYokh2_HJ5271-300-Nike-Wmns-Air-Pegasus-2005-Sequoia-Light-Silver-Black-OS-1.jpg?crop=center&height=768&v=1736952980&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
"Wmns Air Pegasus 2005","","","En rupture de stock","//www.asphaltgold.com/cdn/shop/files/gmRBzEvNTcMA6YoiPcpE_HJ5271-001-Nike-Wmns-Air-Pegasus-2005-Pure-Platinum-Metallic-Platinum-Wolf-Grey-os-1.jpg?crop=center&height=768&v=1736954451&width=768","https://www.asphaltgold.com/fr/collections/y2k-sneaker","","","",""
